C,gamma,MAE,R2
1,auto,37.897792367853754,0.6085148517302068
1,scale,38.33472585313689,0.5994336994400922
1,0.001,37.51047654574123,0.6110145871264088
1,0.01,37.48183474754988,0.6038303820546833
1,0.1,44.9257346527628,0.5471346555279059
1,1,269.567724973291,-1.0316454861125408
