,year,month,day,date,open,high,low,close,volume,dayOfweek,time
0,2015,1,2,2015-01-02 00:00,1.55786,1.55821,1.55617,1.55634,3249,Friday,0
1,2015,1,2,2015-01-02 01:00,1.5564,1.55683,1.55418,1.55529,5016,Friday,1
2,2015,1,2,2015-01-02 02:00,1.55529,1.5556,1.55406,1.55447,4396,Friday,2
3,2015,1,2,2015-01-02 03:00,1.5544799999999999,1.55562,1.55417,1.55545,4668,Friday,3
4,2015,1,2,2015-01-02 04:00,1.55545,1.55569,1.5541,1.5544200000000001,3844,Friday,4
5,2015,1,2,2015-01-02 05:00,1.5544,1.55472,1.55407,1.55466,2360,Friday,5
6,2015,1,2,2015-01-02 06:00,1.55464,1.55503,1.55409,1.55445,5038,Friday,6
7,2015,1,2,2015-01-02 07:00,1.5545,1.55469,1.5535299999999999,1.55393,12911,Friday,7
8,2015,1,2,2015-01-02 08:00,1.55393,1.5547600000000001,1.5514700000000001,1.5529899999999999,17686,Friday,8
9,2015,1,2,2015-01-02 09:00,1.55305,1.5537299999999998,1.54761,1.54792,19151,Friday,9
10,2015,1,2,2015-01-02 10:00,1.54792,1.5480200000000002,1.54397,1.54446,15523,Friday,10
11,2015,1,2,2015-01-02 11:00,1.54444,1.54534,1.5426799999999998,1.54383,14545,Friday,11
12,2015,1,2,2015-01-02 12:00,1.54383,1.54426,1.5412299999999999,1.54261,14621,Friday,12
13,2015,1,2,2015-01-02 13:00,1.54261,1.54393,1.54131,1.54165,11890,Friday,13
14,2015,1,2,2015-01-02 14:00,1.54164,1.5419200000000002,1.53888,1.53954,14006,Friday,14
15,2015,1,2,2015-01-02 15:00,1.53954,1.54102,1.53862,1.53878,19749,Friday,15
16,2015,1,2,2015-01-02 16:00,1.5388,1.5391700000000001,1.5356,1.5360200000000002,17471,Friday,16
17,2015,1,2,2015-01-02 17:00,1.53601,1.5363200000000001,1.5352299999999999,1.53585,5297,Friday,17
18,2015,1,2,2015-01-02 18:00,1.53585,1.53585,1.53518,1.53531,3197,Friday,18
19,2015,1,2,2015-01-02 19:00,1.5353,1.5355,1.53305,1.5335,4733,Friday,19
20,2015,1,2,2015-01-02 20:00,1.5335,1.53409,1.53273,1.53334,3849,Friday,20
21,2015,1,2,2015-01-02 21:00,1.5333299999999999,1.53347,1.53252,1.53252,2459,Friday,21
22,2015,1,5,2015-01-05 00:00,1.52833,1.53193,1.52833,1.53088,5951,Monday,0
23,2015,1,5,2015-01-05 01:00,1.53088,1.53185,1.52977,1.5302799999999999,5083,Monday,1
24,2015,1,5,2015-01-05 02:00,1.53027,1.5304,1.52906,1.52906,2612,Monday,2
25,2015,1,5,2015-01-05 03:00,1.52906,1.5295,1.5284,1.52883,2915,Monday,3
26,2015,1,5,2015-01-05 04:00,1.52883,1.52918,1.5283799999999998,1.52864,2269,Monday,4
27,2015,1,5,2015-01-05 05:00,1.52864,1.52905,1.52773,1.5285799999999998,2422,Monday,5
28,2015,1,5,2015-01-05 06:00,1.52857,1.5286799999999998,1.52731,1.5281200000000001,2464,Monday,6
29,2015,1,5,2015-01-05 07:00,1.52816,1.52997,1.5279,1.52911,11260,Monday,7
30,2015,1,5,2015-01-05 08:00,1.52901,1.53193,1.52901,1.53037,19566,Monday,8
31,2015,1,5,2015-01-05 09:00,1.53039,1.53135,1.52854,1.5305600000000001,16837,Monday,9
32,2015,1,5,2015-01-05 10:00,1.5305600000000001,1.53074,1.5266600000000001,1.5266899999999999,15353,Monday,10
33,2015,1,5,2015-01-05 11:00,1.52671,1.52718,1.5248700000000002,1.52536,13997,Monday,11
34,2015,1,5,2015-01-05 12:00,1.52534,1.5254299999999998,1.5205,1.52142,17767,Monday,12
35,2015,1,5,2015-01-05 13:00,1.52142,1.52369,1.52053,1.5208,16121,Monday,13
36,2015,1,5,2015-01-05 14:00,1.52075,1.52341,1.5203,1.52308,16970,Monday,14
37,2015,1,5,2015-01-05 15:00,1.5231,1.5246600000000001,1.5219200000000002,1.524,16996,Monday,15
38,2015,1,5,2015-01-05 16:00,1.5239200000000002,1.52436,1.52292,1.52332,10873,Monday,16
39,2015,1,5,2015-01-05 17:00,1.52332,1.52406,1.5224600000000001,1.52262,5048,Monday,17
40,2015,1,5,2015-01-05 18:00,1.52261,1.52488,1.52211,1.5248700000000002,4483,Monday,18
41,2015,1,5,2015-01-05 19:00,1.5248700000000002,1.52605,1.52444,1.52541,3500,Monday,19
42,2015,1,5,2015-01-05 20:00,1.52541,1.52702,1.5251299999999999,1.52524,3511,Monday,20
43,2015,1,5,2015-01-05 21:00,1.52525,1.52599,1.52465,1.52472,2529,Monday,21
44,2015,1,5,2015-01-05 22:00,1.52474,1.52538,1.5245600000000001,1.52514,2574,Monday,22
45,2015,1,5,2015-01-05 23:00,1.52516,1.52613,1.52494,1.52569,1855,Monday,23
46,2015,1,6,2015-01-06 00:00,1.52569,1.52651,1.5254299999999998,1.5264799999999998,2053,Tuesday,0
47,2015,1,6,2015-01-06 01:00,1.5264799999999998,1.52657,1.52565,1.52605,2407,Tuesday,1
48,2015,1,6,2015-01-06 02:00,1.52605,1.52739,1.52595,1.5262799999999999,2729,Tuesday,2
49,2015,1,6,2015-01-06 03:00,1.52627,1.5266,1.52567,1.52595,1666,Tuesday,3
50,2015,1,6,2015-01-06 04:00,1.52595,1.5261200000000001,1.52569,1.52583,1754,Tuesday,4
51,2015,1,6,2015-01-06 05:00,1.5258399999999999,1.52615,1.52568,1.52607,2285,Tuesday,5
52,2015,1,6,2015-01-06 06:00,1.52607,1.52704,1.52555,1.52599,4689,Tuesday,6
53,2015,1,6,2015-01-06 07:00,1.52598,1.52601,1.52295,1.52314,9549,Tuesday,7
54,2015,1,6,2015-01-06 08:00,1.52312,1.52481,1.5214,1.5243,17681,Tuesday,8
55,2015,1,6,2015-01-06 09:00,1.5243,1.5246600000000001,1.51874,1.5202200000000001,21042,Tuesday,9
56,2015,1,6,2015-01-06 10:00,1.52024,1.52039,1.51762,1.5186600000000001,14985,Tuesday,10
57,2015,1,6,2015-01-06 11:00,1.51865,1.52065,1.51839,1.5192299999999999,14017,Tuesday,11
58,2015,1,6,2015-01-06 12:00,1.51922,1.51995,1.51841,1.51922,14306,Tuesday,12
59,2015,1,6,2015-01-06 13:00,1.51922,1.51956,1.51673,1.5179200000000002,17986,Tuesday,13
