date,open,high,low,close,volume,dayOfweek,open_24,close_24
02/01/2015 00:00,119.885,120.074,119.835,120.074,2152,Friday,120.395,120.261
02/01/2015 01:00,120.072,120.426,120.052,120.274,3881,Friday,120.261,120.4
02/01/2015 02:00,120.273,120.428,120.26,120.357,2658,Friday,120.399,120.332
02/01/2015 03:00,120.357,120.371,120.277,120.322,1820,Friday,120.333,120.596
02/01/2015 04:00,120.322,120.474,120.322,120.436,1897,Friday,120.594,120.544
02/01/2015 05:00,120.436,120.473,120.406,120.42,1177,Friday,120.543,120.401
02/01/2015 06:00,120.421,120.445,120.336,120.403,1781,Friday,120.406,120.384
02/01/2015 07:00,120.402,120.507,120.387,120.439,3611,Friday,120.383,120.37
02/01/2015 08:00,120.439,120.485,120.343,120.346,4344,Friday,120.371,120.353
02/01/2015 09:00,120.349,120.427,120.314,120.409,4432,Friday,120.353,120.214
02/01/2015 10:00,120.411,120.479,120.379,120.437,2357,Friday,120.213,120.36
02/01/2015 11:00,120.438,120.496,120.435,120.482,2539,Friday,120.362,120.272
02/01/2015 12:00,120.484,120.657,120.482,120.626,3160,Friday,120.273,120.154
02/01/2015 13:00,120.627,120.653,120.554,120.606,4021,Friday,120.156,119.825
02/01/2015 14:00,120.608,120.741,120.574,120.689,5793,Friday,119.822,119.485
02/01/2015 15:00,120.688,120.688,120.001,120.193,9821,Friday,119.483,119.585
02/01/2015 16:00,120.193,120.231,119.805,120.209,8244,Friday,119.589,119.652
02/01/2015 17:00,120.209,120.388,120.15,120.235,4399,Friday,119.652,119.61
02/01/2015 18:00,120.236,120.324,120.21,120.309,3026,Friday,119.611,119.692
02/01/2015 19:00,120.31,120.393,120.3,120.34,3039,Friday,119.692,119.534
02/01/2015 20:00,120.34,120.487,120.305,120.472,3060,Friday,119.534,119.655
02/01/2015 21:00,120.471,120.534,120.441,120.448,1843,Friday,119.658,119.636
05/01/2015 00:00,120.395,120.419,119.982,120.261,9035,Monday,119.422,119.169
05/01/2015 01:00,120.261,120.424,120.126,120.4,6406,Monday,119.167,119.447
05/01/2015 02:00,120.399,120.399,120.237,120.332,3926,Monday,119.446,119.336
05/01/2015 03:00,120.333,120.6,120.312,120.596,4909,Monday,119.337,119.295
05/01/2015 04:00,120.594,120.645,120.495,120.544,3672,Monday,119.293,119.24
05/01/2015 05:00,120.543,120.606,120.357,120.401,3873,Monday,119.239,118.959
05/01/2015 06:00,120.406,120.511,120.359,120.384,3510,Monday,118.958,118.796
05/01/2015 07:00,120.383,120.477,120.31,120.37,4885,Monday,118.796,119.166
05/01/2015 08:00,120.371,120.425,120.262,120.353,6602,Monday,119.164,118.881
05/01/2015 09:00,120.353,120.395,120.13,120.214,5755,Monday,118.882,118.838
05/01/2015 10:00,120.213,120.382,120.171,120.36,5485,Monday,118.836,118.97
05/01/2015 11:00,120.362,120.432,120.238,120.272,5374,Monday,118.97,119.314
05/01/2015 12:00,120.273,120.286,120.042,120.154,6137,Monday,119.314,119.052
05/01/2015 13:00,120.156,120.179,119.755,119.825,7908,Monday,119.053,119.002
05/01/2015 14:00,119.822,119.838,119.459,119.485,10787,Monday,119.003,118.862
05/01/2015 15:00,119.483,119.667,119.375,119.585,11596,Monday,118.862,118.707
05/01/2015 16:00,119.589,119.78,119.434,119.652,9286,Monday,118.711,118.218
05/01/2015 17:00,119.652,119.785,119.556,119.61,5108,Monday,118.219,118.483
05/01/2015 18:00,119.611,119.793,119.577,119.692,4832,Monday,118.481,118.372
05/01/2015 19:00,119.692,119.699,119.495,119.534,4474,Monday,118.372,118.625
05/01/2015 20:00,119.534,119.674,119.493,119.655,4028,Monday,118.625,118.501
05/01/2015 21:00,119.658,119.658,119.571,119.636,1828,Monday,118.501,118.375
05/01/2015 22:00,119.636,119.638,119.259,119.288,3079,Monday,118.384,118.592
05/01/2015 23:00,119.289,119.489,119.287,119.421,3700,Monday,118.59,118.661
06/01/2015 00:00,119.422,119.507,119.16,119.169,5294,Tuesday,118.662,118.752
06/01/2015 01:00,119.167,119.448,119.164,119.447,4491,Tuesday,118.752,119.001
06/01/2015 02:00,119.446,119.446,119.171,119.336,5088,Tuesday,119.004,119.071
06/01/2015 03:00,119.337,119.385,119.251,119.295,3403,Tuesday,119.071,119.016
06/01/2015 04:00,119.293,119.293,119.091,119.24,4442,Tuesday,119.015,119.044
