date,open,high,low,close,volume,dayOfweek,open_24,close_24
02/01/2015 00:00,1.55786,1.55821,1.55617,1.55634,3249,Friday,1.52833,1.53088
02/01/2015 01:00,1.5564,1.55683,1.55418,1.55529,5016,Friday,1.53088,1.53028
02/01/2015 02:00,1.55529,1.5556,1.55406,1.55447,4396,Friday,1.53027,1.52906
02/01/2015 03:00,1.55448,1.55562,1.55417,1.55545,4668,Friday,1.52906,1.52883
02/01/2015 04:00,1.55545,1.55569,1.5541,1.55442,3844,Friday,1.52883,1.52864
02/01/2015 05:00,1.5544,1.55472,1.55407,1.55466,2360,Friday,1.52864,1.52858
02/01/2015 06:00,1.55464,1.55503,1.55409,1.55445,5038,Friday,1.52857,1.52812
02/01/2015 07:00,1.5545,1.55469,1.55353,1.55393,12911,Friday,1.52816,1.52911
02/01/2015 08:00,1.55393,1.55476,1.55147,1.55299,17686,Friday,1.52901,1.53037
02/01/2015 09:00,1.55305,1.55373,1.54761,1.54792,19151,Friday,1.53039,1.53056
02/01/2015 10:00,1.54792,1.54802,1.54397,1.54446,15523,Friday,1.53056,1.52669
02/01/2015 11:00,1.54444,1.54534,1.54268,1.54383,14545,Friday,1.52671,1.52536
02/01/2015 12:00,1.54383,1.54426,1.54123,1.54261,14621,Friday,1.52534,1.52142
02/01/2015 13:00,1.54261,1.54393,1.54131,1.54165,11890,Friday,1.52142,1.5208
02/01/2015 14:00,1.54164,1.54192,1.53888,1.53954,14006,Friday,1.52075,1.52308
02/01/2015 15:00,1.53954,1.54102,1.53862,1.53878,19749,Friday,1.5231,1.524
02/01/2015 16:00,1.5388,1.53917,1.5356,1.53602,17471,Friday,1.52392,1.52332
02/01/2015 17:00,1.53601,1.53632,1.53523,1.53585,5297,Friday,1.52332,1.52262
02/01/2015 18:00,1.53585,1.53585,1.53518,1.53531,3197,Friday,1.52261,1.52487
02/01/2015 19:00,1.5353,1.5355,1.53305,1.5335,4733,Friday,1.52487,1.52541
02/01/2015 20:00,1.5335,1.53409,1.53273,1.53334,3849,Friday,1.52541,1.52524
02/01/2015 21:00,1.53333,1.53347,1.53252,1.53252,2459,Friday,1.52525,1.52472
05/01/2015 00:00,1.52833,1.53193,1.52833,1.53088,5951,Monday,1.52569,1.52648
05/01/2015 01:00,1.53088,1.53185,1.52977,1.53028,5083,Monday,1.52648,1.52605
05/01/2015 02:00,1.53027,1.5304,1.52906,1.52906,2612,Monday,1.52605,1.52628
05/01/2015 03:00,1.52906,1.5295,1.5284,1.52883,2915,Monday,1.52627,1.52595
05/01/2015 04:00,1.52883,1.52918,1.52838,1.52864,2269,Monday,1.52595,1.52583
05/01/2015 05:00,1.52864,1.52905,1.52773,1.52858,2422,Monday,1.52584,1.52607
