,open,close,open_24,close_24
01-01-21 06:00,1.22485,1.2256,1.212928914,1.212991744
01-01-21 07:00,1.2256,1.2257,1.212817728,1.212842023
01-01-21 08:00,1.2257,1.22635,1.212144581,1.21220109
01-01-21 09:00,1.2263,1.22835,1.212242713,1.212252174
01-01-21 10:00,1.2281,1.2293,1.212577814,1.212581313
01-01-21 11:00,1.2294,1.2292,1.212889374,1.213110032
01-01-21 12:00,1.2292,1.2293,1.214489996,1.215068118
01-01-21 13:00,1.2293,1.2304,1.214481233,1.215056473
01-01-21 15:00,1.2303,1.2299,1.214858038,1.215196399
01-01-21 16:00,1.23,1.229,1.215789418,1.215963156
01-01-21 17:00,1.2288,1.2272,1.215072018,1.214957634
01-01-21 18:00,1.2271,1.22545,1.214402993,1.214172242
01-01-21 19:00,1.22545,1.2253,1.214837341,1.214703145
01-01-21 20:00,1.2252,1.2251,1.215145766,1.215132657
01-01-21 21:00,1.2251,1.2252,1.215445311,1.215613667
03-01-21 20:00,1.2252,1.2249,1.214582641,1.214718614
03-01-21 21:00,1.2249,1.225,1.21451914,1.214730203
03-01-21 22:00,1.2247,1.2251,1.21415995,1.214254755
03-01-21 23:00,1.2251,1.2253,1.214722071,1.214662027
03-12-20 07:00,1.2154,1.2153,1.215312112,1.21520139
03-12-20 08:00,1.21535,1.21595,1.214937363,1.214889918
03-12-20 09:00,1.21605,1.21685,1.213805677,1.213759238
03-12-20 10:00,1.21675,1.21745,1.214957273,1.214760874
03-12-20 11:00,1.21755,1.21685,1.21610857,1.215980882
03-12-20 12:00,1.2168,1.21585,1.21572932,1.215452063
03-12-20 13:00,1.21585,1.21475,1.215695853,1.215448326
03-12-20 14:00,1.2146,1.2158,1.216528915,1.216383561
03-12-20 15:00,1.2157,1.21405,1.216535514,1.216461498
03-12-20 16:00,1.2141,1.2142,1.216557225,1.216482437
03-12-20 17:00,1.2141,1.2144,1.21641637,1.216087896
03-12-20 18:00,1.2144,1.2142,1.21552919,1.214810507
03-12-20 19:00,1.21415,1.2138,1.215572085,1.215342213
03-12-20 20:00,1.2137,1.2127,1.214894812,1.214736321
03-12-20 21:00,1.2128,1.2121,1.214679208,1.214450428
03-12-20 22:00,1.21165,1.2121,1.214810382,1.214641241
03-12-20 23:00,1.2119,1.2132,1.214829405,1.214731564
04-01-21 00:00,1.2253,1.2256,1.214788252,1.214680487
04-01-21 01:00,1.2256,1.2257,1.21425918,1.214284615
04-01-21 02:00,1.2257,1.2271,1.214033629,1.214161863
04-01-21 03:00,1.2271,1.2273,1.213878609,1.214003697
04-01-21 04:00,1.2273,1.2269,1.213801319,1.213927971
04-01-21 05:00,1.2269,1.22735,1.214209785,1.214145933
04-01-21 06:00,1.22725,1.227,1.213786972,1.213687669
04-01-21 07:00,1.22695,1.22585,1.213425002,1.213183886
04-01-21 08:00,1.2259,1.2274,1.213855303,1.213636721
04-01-21 09:00,1.22745,1.2273,1.214213806,1.214080126
04-01-21 10:00,1.22735,1.2277,1.214057694,1.213770476
04-01-21 11:00,1.22775,1.22835,1.213840843,1.213558763
04-01-21 12:00,1.2283,1.2272,1.213570244,1.213336826
04-01-21 13:00,1.22735,1.2262,1.21338128,1.213014255
04-01-21 14:00,1.2263,1.2265,1.212512935,1.212135402
04-01-21 15:00,1.226,1.2276,1.210992902,1.210829388
04-01-21 16:00,1.2275,1.2294,1.209779572,1.210137905
04-01-21 17:00,1.22955,1.23,1.211250955,1.211251042
04-01-21 18:00,1.2299,1.2293,1.211856045,1.211964504
04-01-21 19:00,1.2294,1.2304,1.213099493,1.213376723
04-01-21 20:00,1.2303,1.22935,1.213443762,1.213941275
04-01-21 21:00,1.2294,1.22975,1.214489391,1.21484592
04-01-21 22:00,1.2296,1.2296,1.213433448,1.213742811
04-01-21 23:00,1.2297,1.22985,1.213735956,1.213927324
04-12-20 00:00,1.2132,1.21275,1.213494551,1.21355288
04-12-20 01:00,1.213,1.21205,1.213267262,1.213045915
04-12-20 02:00,1.212,1.2128,1.212959757,1.212386183
04-12-20 03:00,1.2127,1.2135,1.211915859,1.21155669
04-12-20 04:00,1.2135,1.21365,1.21233999,1.212180502
04-12-20 05:00,1.21365,1.2134,1.213079585,1.212982933
04-12-20 06:00,1.21345,1.21325,1.213642142,1.213403259
04-12-20 07:00,1.2133,1.21315,1.213285367,1.213260229
04-12-20 08:00,1.2132,1.21285,1.213050705,1.213162464
04-12-20 09:00,1.2129,1.2121,1.213594398,1.213717579
04-12-20 10:00,1.212,1.20965,1.213838447,1.213928452
04-12-20 11:00,1.2097,1.20935,1.213543138,1.213612426
04-12-20 12:00,1.2093,1.21085,1.213089804,1.213099935
04-12-20 13:00,1.21085,1.211,1.212670007,1.212554283
04-12-20 14:00,1.21135,1.2118,1.21232382,1.21209553
04-12-20 15:00,1.21195,1.21365,1.211453764,1.211176871
04-12-20 16:00,1.2137,1.2151,1.213100078,1.213157439
04-12-20 17:00,1.21505,1.2133,1.212949739,1.212747721
04-12-20 18:00,1.2133,1.2139,1.21330456,1.212853748
04-12-20 19:00,1.2138,1.21335,1.212643798,1.212148118
04-12-20 20:00,1.21335,1.21255,1.212869079,1.212503622
04-12-20 21:00,1.21245,1.21195,1.212790385,1.212522441
05-01-21 00:00,1.22985,1.2309,1.212969295,1.212720084
05-01-21 01:00,1.231,1.2289,1.213061923,1.212963077
05-01-21 02:00,1.22895,1.228,1.21201389,1.211905005
05-01-21 03:00,1.22775,1.2286,1.212279381,1.212303572
05-01-21 04:00,1.22855,1.22925,1.211877832,1.211664838
05-01-21 05:00,1.2292,1.22965,1.212090472,1.212020057
05-01-21 06:00,1.22965,1.23165,1.211992834,1.211962879
05-01-21 07:00,1.2316,1.23405,1.212219527,1.212097698
05-01-21 08:00,1.2339,1.2325,1.211936006,1.211635082
05-01-21 09:00,1.2325,1.2338,1.21172199,1.211470026
05-01-21 10:00,1.2338,1.23395,1.211840269,1.211656869
05-01-21 11:00,1.2338,1.2337,1.211972851,1.211929728
05-01-21 12:00,1.23375,1.234,1.212254576,1.212418761
05-01-21 13:00,1.234,1.23195,1.212701336,1.212846155
05-01-21 14:00,1.23195,1.231,1.212836222,1.212796782
05-01-21 15:00,1.231,1.22815,1.213024912,1.213254965
05-01-21 16:00,1.22825,1.22895,1.212290606,1.212276603
05-01-21 17:00,1.2291,1.2299,1.212839452,1.212872892
05-01-21 18:00,1.2299,1.231,1.211974188,1.211920415
05-01-21 19:00,1.2312,1.2307,1.211781314,1.211576192
05-01-21 20:00,1.2307,1.2324,1.212335848,1.211812137
05-01-21 21:00,1.2325,1.2327,1.212100729,1.21188304
05-01-21 22:00,1.2327,1.23275,1.211705819,1.211472855
05-01-21 23:00,1.2329,1.23405,1.211426148,1.211314548
06-01-21 00:00,1.2338,1.2333,1.209910252,1.21008704
06-01-21 01:00,1.23335,1.2331,1.209796984,1.210153314
06-01-21 02:00,1.2331,1.2325,1.209312722,1.209998596
06-01-21 03:00,1.2324,1.23275,1.208944931,1.209208457
