,year,month,day,date,open,high,low,close,volume,dayOfweek,time
0,2018,1,2,02/01/2018 00:00,1.20105,1.20177,1.20092,1.2016,4358,Tuesday,0
1,2018,1,2,02/01/2018 01:00,1.20159,1.20231,1.20139,1.20154,5864,Tuesday,1
2,2018,1,2,02/01/2018 02:00,1.20153,1.20163,1.20078,1.20095,6158,Tuesday,2
3,2018,1,2,02/01/2018 03:00,1.20095,1.20211,1.20094,1.20119,5953,Tuesday,3
4,2018,1,2,02/01/2018 04:00,1.20118,1.20192,1.20114,1.20173,4693,Tuesday,4
5,2018,1,2,02/01/2018 05:00,1.20174,1.20245,1.20158,1.20245,3880,Tuesday,5
6,2018,1,2,02/01/2018 06:00,1.20244,1.20304,1.20227,1.20286,6072,Tuesday,6
7,2018,1,2,02/01/2018 07:00,1.20285,1.20382,1.20237,1.20361,11057,Tuesday,7
8,2018,1,2,02/01/2018 08:00,1.20362,1.20477,1.20323,1.20446,11297,Tuesday,8
9,2018,1,2,02/01/2018 09:00,1.20449,1.20705,1.20421,1.20705,11235,Tuesday,9
10,2018,1,2,02/01/2018 10:00,1.20704,1.20811,1.20613,1.20684,12806,Tuesday,10
11,2018,1,2,02/01/2018 11:00,1.20684,1.20705,1.20592,1.20593,9296,Tuesday,11
12,2018,1,2,02/01/2018 12:00,1.20592,1.20687,1.20567,1.20627,11061,Tuesday,12
13,2018,1,2,02/01/2018 13:00,1.20628,1.20665,1.20561,1.20574,11849,Tuesday,13
14,2018,1,2,02/01/2018 14:00,1.20572,1.20588,1.20354,1.20387,13293,Tuesday,14
15,2018,1,2,02/01/2018 15:00,1.2039,1.20456,1.20262,1.20445,14350,Tuesday,15
16,2018,1,2,02/01/2018 16:00,1.20453,1.2059,1.20436,1.20491,13227,Tuesday,16
17,2018,1,2,02/01/2018 17:00,1.20491,1.20536,1.20412,1.20448,8789,Tuesday,17
18,2018,1,2,02/01/2018 18:00,1.20441,1.20498,1.20418,1.20443,7223,Tuesday,18
19,2018,1,2,02/01/2018 19:00,1.20444,1.20536,1.20431,1.20533,5806,Tuesday,19
20,2018,1,2,02/01/2018 20:00,1.20535,1.20606,1.20517,1.20592,7152,Tuesday,20
21,2018,1,2,02/01/2018 21:00,1.20591,1.20652,1.20545,1.20583,4803,Tuesday,21
22,2018,1,2,02/01/2018 22:00,1.20581,1.20583,1.20552,1.20574,3539,Tuesday,22
23,2018,1,2,02/01/2018 23:00,1.20572,1.20662,1.2057,1.20614,3381,Tuesday,23
24,2018,1,3,03/01/2018 00:00,1.20614,1.20638,1.20493,1.20591,5799,Wednesday,0
25,2018,1,3,03/01/2018 01:00,1.20592,1.20632,1.20443,1.2053,6344,Wednesday,1
26,2018,1,3,03/01/2018 02:00,1.2053,1.2053,1.2042,1.20423,5480,Wednesday,2
27,2018,1,3,03/01/2018 03:00,1.20424,1.20477,1.20419,1.20467,3933,Wednesday,3
28,2018,1,3,03/01/2018 04:00,1.20467,1.20536,1.20464,1.20508,3575,Wednesday,4
29,2018,1,3,03/01/2018 05:00,1.20508,1.20592,1.20492,1.20581,4178,Wednesday,5
30,2018,1,3,03/01/2018 06:00,1.20581,1.20604,1.20441,1.20451,6281,Wednesday,6
31,2018,1,3,03/01/2018 07:00,1.2045,1.2049,1.20346,1.20392,11692,Wednesday,7
32,2018,1,3,03/01/2018 08:00,1.20392,1.20429,1.20311,1.20425,11203,Wednesday,8
33,2018,1,3,03/01/2018 09:00,1.20425,1.20434,1.20344,1.20382,8579,Wednesday,9
34,2018,1,3,03/01/2018 10:00,1.20382,1.20405,1.20151,1.20176,11835,Wednesday,10
35,2018,1,3,03/01/2018 11:00,1.20176,1.20189,1.20108,1.2015,10913,Wednesday,11
36,2018,1,3,03/01/2018 12:00,1.20148,1.20236,1.20109,1.20231,9940,Wednesday,12
37,2018,1,3,03/01/2018 13:00,1.20231,1.20344,1.20197,1.20328,11154,Wednesday,13
38,2018,1,3,03/01/2018 14:00,1.20327,1.20328,1.20144,1.20176,11610,Wednesday,14
39,2018,1,3,03/01/2018 15:00,1.20177,1.20248,1.20034,1.20236,14183,Wednesday,15
40,2018,1,3,03/01/2018 16:00,1.20234,1.20322,1.20196,1.20298,10202,Wednesday,16
41,2018,1,3,03/01/2018 17:00,1.20299,1.20315,1.20241,1.20271,7100,Wednesday,17
42,2018,1,3,03/01/2018 18:00,1.20271,1.20294,1.20219,1.2027,7499,Wednesday,18
43,2018,1,3,03/01/2018 19:00,1.20274,1.20299,1.20011,1.20162,13167,Wednesday,19
44,2018,1,3,03/01/2018 20:00,1.20164,1.20289,1.20102,1.20123,7826,Wednesday,20
45,2018,1,3,03/01/2018 21:00,1.20124,1.20158,1.201,1.20141,4938,Wednesday,21
46,2018,1,3,03/01/2018 22:00,1.20142,1.2016,1.20102,1.20105,3312,Wednesday,22
47,2018,1,3,03/01/2018 23:00,1.20105,1.2014,1.20064,1.20107,4198,Wednesday,23
48,2018,1,4,04/01/2018 00:00,1.20108,1.20114,1.20044,1.20099,5588,Thursday,0
49,2018,1,4,04/01/2018 01:00,1.20099,1.20109,1.20048,1.20077,5326,Thursday,1
