,year,month,day,date,open,high,low,close,volume,dayOfweek,time
0,2016,1,5,05/01/2016 00:00,1.08239,1.08345,1.0818,1.08313,3653,Tuesday,0
1,2016,1,5,05/01/2016 01:00,1.08315,1.08388,1.08221,1.0825,6885,Tuesday,1
2,2016,1,5,05/01/2016 02:00,1.08244,1.08285,1.08154,1.08167,4951,Tuesday,2
3,2016,1,5,05/01/2016 03:00,1.08168,1.08212,1.0815,1.08192,4605,Tuesday,3
4,2016,1,5,05/01/2016 04:00,1.08194,1.08259,1.0819,1.08225,3355,Tuesday,4
5,2016,1,5,05/01/2016 05:00,1.08225,1.08345,1.0821,1.08313,4693,Tuesday,5
6,2016,1,5,05/01/2016 06:00,1.08313,1.08365,1.08248,1.08277,5164,Tuesday,6
7,2016,1,5,05/01/2016 07:00,1.08277,1.08288,1.08043,1.08086,8977,Tuesday,7
8,2016,1,5,05/01/2016 08:00,1.08087,1.08184,1.07854,1.07897,12462,Tuesday,8
9,2016,1,5,05/01/2016 09:00,1.07896,1.07988,1.07726,1.07734,13969,Tuesday,9
10,2016,1,5,05/01/2016 10:00,1.07741,1.07848,1.07649,1.0768,14155,Tuesday,10
11,2016,1,5,05/01/2016 11:00,1.0768,1.07688,1.07522,1.0756,10494,Tuesday,11
12,2016,1,5,05/01/2016 12:00,1.07559,1.07648,1.075,1.07515,11581,Tuesday,12
13,2016,1,5,05/01/2016 13:00,1.07516,1.07565,1.07391,1.07421,15236,Tuesday,13
14,2016,1,5,05/01/2016 14:00,1.07421,1.07574,1.07385,1.07392,15624,Tuesday,14
15,2016,1,5,05/01/2016 15:00,1.07391,1.07427,1.07107,1.07217,18013,Tuesday,15
16,2016,1,5,05/01/2016 16:00,1.07216,1.07443,1.07198,1.07422,14340,Tuesday,16
17,2016,1,5,05/01/2016 17:00,1.07422,1.07485,1.07331,1.07454,7628,Tuesday,17
18,2016,1,5,05/01/2016 18:00,1.07455,1.07464,1.07331,1.07339,5918,Tuesday,18
19,2016,1,5,05/01/2016 19:00,1.07338,1.07467,1.07331,1.07431,5725,Tuesday,19
20,2016,1,5,05/01/2016 20:00,1.07436,1.07531,1.0742,1.07501,5890,Tuesday,20
21,2016,1,5,05/01/2016 21:00,1.075,1.07555,1.07462,1.07476,3486,Tuesday,21
22,2016,1,5,05/01/2016 22:00,1.07474,1.07556,1.07429,1.07528,3176,Tuesday,22
23,2016,1,5,05/01/2016 23:00,1.07528,1.07582,1.07491,1.07502,3785,Tuesday,23
24,2016,1,6,06/01/2016 00:00,1.07503,1.07514,1.07413,1.07441,4328,Wednesday,0
